"ObjectID","GlobalID","SampleDateTime","SampleLocationAccuracy","Gear","PointId","GearPointId","Sector","DissolvedOxygen_mgL","Conductivity_umhosCm","Salinity_ppt","TDS_mgL","pH","Turbidity_NTU","Temperature_F","Notes","CreationDate","Creator","EditDate","Editor","SecchiDepth_m","Precipitation","CloudCover","X","Y"
1,"db392504-e112-4a57-8836-9578035e534f",2023-11-02 08:40:00,"10.50767993927002","Dredge","O18","DredgeO18","3",9.12,1707,1.01,1279,7.46,40.02,59.6,"Conductivity (microS/cm)",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5095383648333,30.2003605233333
2,"626d828f-57fe-4456-ba13-db894ffac387",2023-11-02 09:24:00,"2.130645513534546","Dredge","O20","DredgeO20","3",9.45,1479,0.92,1170,7.44,39.5,60,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5175764658333,30.1860306621667
3,"7ccfc080-2842-48db-88e3-1030fbbd8584",2023-11-02 09:49:00,"0.30311712622642517","Dredge","M23","DredgeM23","3",9.61,2065,1.35,1682,7.54,63.5,58,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5452222183333,30.1726838031667
4,"413ba3e6-e13a-4c24-a110-84d5e4b243df",2023-11-02 10:12:00,"4.890499114990234","Dredge","K24","DredgeK24","4",9.78,1212,0.78,997,7.45,24.08,57.4,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5633933201667,30.1745649208333
5,"1c0d4883-e924-4d15-8865-f46bf5f64969",2023-11-02 10:36:00,"1.9804799556732178","Dredge","J23","DredgeJ23","4",9.75,1411,0.89,1132,7.6,52.4,59.3,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5660642801667,30.1861568076667
6,"6d1f4248-fdef-46ea-8e11-4cb3fc1e0886",2023-11-02 11:04:00,"22.465778350830078","Dredge","L20","DredgeL20","4",10.09,1684,1.04,1328,7.72,33.3,61,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5393503208333,30.1985733676667
7,"2448536f-08c0-4579-8a0e-a6ff0773f048",2023-11-02 11:29:00,"2.0372836589813232","Dredge","H24","DredgeH24","4",6.5,1014,0.6,785,6.84,8.55,62,"Clam sampling",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5846656871667,30.1873566103333
8,"73e9bed4-e091-4e17-a020-88641992e62c",2023-11-02 12:13:00,"0.16065490245819092","Dredge","G10","DredgeG10","6",10.22,1786,1.09,1373,8.07,9.49,62.4,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5317241826667,30.290815183
9,"e21750da-041c-4345-9a31-da4cd507d967",2023-11-02 12:30:00,"0.6283128261566162","Dredge","D15","DredgeD15","5",10.15,1598,0.98,1241,8.02,34.58,61.7,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5745286068333,30.2696005626667
10,"4c0ef566-dbba-42a9-89f4-599b54cdd43d",2023-11-02 12:53:00,"0.4567931592464447","Dredge","E16","DredgeE16","5",9.88,1903,1.16,1464,7.83,28.9,62.5,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5718604995,30.2572707765
11,"eedaaf7e-ab80-4aa9-b28d-85b5f663ee27",2023-11-02 13:17:00,"1.2364404201507568","Dredge","J10","DredgeJ10","5",10.11,2130,1.29,1620,8.44,2.81,63.3,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5106274755,30.2785886893333
12,"1b585700-e8d2-49e2-91c2-5a287668f4ce",2023-11-02 13:40:00,"0.5011436939239502","Dredge","M9","DredgeM9","2",10.08,3234,2,2454,8.44,-2.65,63.4,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4844167181667,30.2728852411667
13,"6f7b2d2f-6084-4cd0-9a8e-711d63c86eb4",2023-11-02 14:12:00,"0.5608859062194824","Dredge","Q10","DredgeQ10","2",9.63,2709,1.67,2067,7.75,-6.47,62.9,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4606164781667,30.2479580485
14,"f1c3df36-45d7-4d4b-89d4-4b9f2f3124ed",2023-11-02 14:39:00,"0.4925900995731354","Dredge","U12","DredgeU12","2",10.45,2544,1.56,1943,8.67,-0.48,62.9,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4424683868333,30.2173791801667
15,"5a3c76e0-9c67-4990-9d57-982047304fa5",2023-11-02 15:16:00,"3.729466676712036","Dredge","S4","DredgeS4","1",9.04,5066,3.24,3858,7.6,4.35,63.2,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.420139234,30.2822740601667
16,"d1eed7ed-c904-4896-a355-e7e1381774b0",2023-11-03 08:22:00,"6","Dredge","J4","DredgeJ4","6",9.8,2875,1.79,2203,8.34,-0.7,62.7,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4609819710751,30.3130202205812
17,"d0b6308f-6fc0-461d-997e-34cf451c1afa",2023-11-03 08:36:00,"2","Dredge","J3","DredgeJ3","6",9.37,2370,1.46,1825,7.61,3.8,62.3,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.480219440046,30.3285306566568
18,"9c63dd33-677c-41dd-bbc0-a3f45c802717",2023-11-03 08:56:00,"2","Dredge","K4","DredgeK4","6",9.98,2826,1.76,2168,8.46,-0.12,62.6,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4775406139542,30.3167110036078
19,"09fecaf9-e3a8-4a8c-afad-8c839c32dedb",2023-11-03 09:17:00,"4","Dredge","L5","DredgeL5","6",9.87,3205,2.01,2460,8.15,-0.33,62.6,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4744296411659,30.3050045710517
20,"e036827f-fffa-4f78-aa0f-9f23915bd460",2023-11-03 09:37:00,"4","Dredge","M5","DredgeM5","1",9.46,2849,1.78,2194,7.58,-0.42,62.3,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4672623479936,30.3008782932113
21,"e4b453cb-3c24-4d4f-97d4-fba19f63119f",2023-11-03 10:00:00,"3","Dredge","P5","DredgeP5","1",9.68,2920,1.82,2240,7.69,-2.85,62.6,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4463723046972,30.2878526685596
22,"40b09939-62a5-4d97-8ff7-201c7e63ae99",2023-11-03 10:24:00,"4","Dredge","S7","DredgeS7","1",9.9,2623,1.65,2041,7.72,-5.44,61.5,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4332780237255,30.2609697139916
23,"73ae75a9-27e5-4978-9b82-3a13e8ff033a",2023-12-05 09:08:00,"4","BottomTrawl","O15","BottomTrawlO15","3",9.04,3054,1.99,2440,7.36,7.74,59.5,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4952042478791,30.2213880745813
24,"9f9fdfd7-f3ee-4b94-b6b4-c3d80801aa2c",2023-12-05 09:51:00,"4","BottomTrawl","O16","BottomTrawlO16","3",9.25,2799,1.81,2231,7.43,7.55,59.6,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4992805894686,30.2150494054363
25,"bc2aaefa-5f92-47b0-b2d6-826a335919b6",2023-12-05 10:46:00,"3","BottomTrawl","N19","BottomTrawlN19","3",7.72,1007,0.61,792,7.21,13.12,60.6,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5189354973465,30.1976759729935
